event,bunker_ssvid,neighbor_ssvid,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
7e5e2aef646fa9c1f912a35b04ac738a,205686000,601175000,2016-05-03T08:00:00Z,2016-05-03T11:20:00Z,-33.87754098,18.21401266,0.062,0.964,3.333333333
71cb1a1f0e627e693017e327e5be0fdd,211822000,271062023,2017-09-15T09:00:00Z,2017-09-15T11:40:00Z,40.77247345,28.61340908,0.313,0.162,2.666666667
7f68535cd88ed8ccf3cd4296d6318a1d,215171000,352502000,2013-12-14T08:40:00Z,2013-12-14T11:10:00Z,34.46913475,33.31031996,0.056,1.242,2.5
36722117346270f71d95f787638cdb9a,215254000,601175000,2017-01-26T06:10:00Z,2017-01-26T09:20:00Z,-33.84199377,18.21660922,0.103,0.782,3.166666667
7ddc5ab66a1e574dfc9b69da6a5671a4,215287000,601175000,2019-04-05T19:50:00Z,2019-04-05T23:20:00Z,-33.84783587,18.25481425,0.08,1.252,3.5
f35f1fd0ec07a8675e1508d553b7a643,215392000,601175000,2016-08-13T00:50:00Z,2016-08-13T04:10:00Z,-33.90587443,18.2499202,0.099,1.02,3.333333333
73184de9f4ca13f4d44a8f7438c58941,215618000,601175000,2018-11-08T09:50:00Z,2018-11-08T12:10:00Z,-33.87494921,18.23676646,0.148,1.08,2.333333333
e20d1a0708f870811c6dd06f220db0c1,215862000,601175000,2019-06-13T07:10:00Z,2019-06-13T10:50:00Z,-33.86556466,18.25743798,0.038,1.347,3.666666667
fb27535133f197b9fdebb7389438f7ff,219002029,334117000,2015-06-13T04:00:00Z,2015-06-13T07:50:00Z,57.71056197,9.221029222,0.257,0.509,3.833333333
83a56853e9edd0858d526f2182fedc68,220443000,316004070,2018-08-23T12:10:00Z,2018-08-23T23:50:00Z,77.45988381,-69.24952772,0.363,0.003,11.66666667
d90f66fc5f03a8e196e2591fe72f5bff,220516000,331340000,2016-10-15T02:40:00Z,2016-10-15T10:10:00Z,63.68526477,-51.50575692,0.367,0.004,7.5
e21e39b2ff3c1b40b192a8e28c921f16,220570000,209564000,2018-12-28T09:30:00Z,2018-12-28T12:00:00Z,34.5227954,33.2603349,0.042,0.246,2.5
ed2eaf7408fac360510491093411b58d,224072000,601218900,2016-12-19T08:10:00Z,2016-12-19T10:50:00Z,-33.87570021,18.24053974,0.042,1.144,2.666666667
120187de86fd6d1af5cac4ecb1ffae2c,228333700,601258800,2018-04-21T08:40:00Z,2018-04-21T11:00:00Z,-33.8498152,18.25738397,0.06,0.526,2.333333333
9a3f517ae9ca85c2a0e2401d36e5211d,229059000,601175000,2016-06-06T05:50:00Z,2016-06-06T09:10:00Z,-33.87588033,18.24430174,0.094,1.068,3.333333333
f57eb2446db53bd993b7044fbeb16794,229134000,601175000,2017-11-30T14:10:00Z,2017-11-30T16:30:00Z,-33.87575152,18.23049066,0.035,0.848,2.333333333
547b251553b1ca759aac6bd73a6b1ffd,229353000,352502000,2015-06-28T07:40:00Z,2015-06-28T11:40:00Z,34.51453994,33.3198674,0.05,0.885,4
45ebe0981fb6d05e19dd9d39edbb9e11,229450000,647351923,2019-09-06T06:00:00Z,2019-09-06T08:10:00Z,-20.31071213,43.71116239,0.065,1.231,2.166666667
4b71a714ef1c15328a4c89d3d5f16779,229582000,601175000,2017-04-01T07:20:00Z,2017-04-01T09:30:00Z,-33.84620787,18.20951023,0.197,1.414,2.166666667
b3cf876997580847644159a27537d3cf,235050369,601175000,2016-04-24T09:10:00Z,2016-04-24T11:50:00Z,-33.86922381,18.25463566,0.033,1.12,2.666666667
aa56003f7f757894929e2828598a554a,235060454,601175000,2017-05-25T12:20:00Z,2017-05-25T15:00:00Z,-33.87359015,18.23275017,0.037,0.726,2.666666667
2c78cc9109267628a56b16c2f650bfd4,235060455,601175000,2017-04-09T09:00:00Z,2017-04-09T11:10:00Z,-33.88706904,18.25479448,0.071,1.295,2.166666667
c2001cd52c3431afb08a05c0af159cee,235073588,412802529,2016-08-24T03:10:00Z,2016-08-24T06:40:00Z,38.23835871,119.3689181,0.292,0.565,3.5
f19d01316760874e8b90b498cf1369b5,235098017,601218900,2016-07-31T05:10:00Z,2016-07-31T07:40:00Z,-33.89509267,18.23374034,0.093,0.807,2.5
1afb52860e9813cd90c0d2dbb3232ed9,235101304,601175000,2017-08-19T19:20:00Z,2017-08-19T21:30:00Z,-33.90653605,18.20539124,0.11,1.345,2.166666667
5c8638a75b3741d2a362248416017ef6,235807000,601218900,2015-10-16T07:00:00Z,2015-10-16T10:30:00Z,-33.83589416,18.23568061,0.093,0.806,3.5
f96d08a9fe21a9d764fd357e7ecc88c5,236575000,416005500,2017-07-27T21:30:00Z,2017-07-28T03:30:00Z,-34.86643633,33.9427546,0.148,0.783,6
98074a5704ec32b3493f450e677e8faa,236575000,416741000,2017-07-27T06:00:00Z,2017-07-27T09:50:00Z,-33.92348057,33.54702492,0.146,0.819,3.833333333
e66bc99f2b000a53a62be7ad64c80fa8,236575000,431600270,2017-07-08T06:20:00Z,2017-07-08T09:50:00Z,-24.03637486,5.996786949,0.165,0.811,3.5
c7328e3c6d76aabe99e7f60896b62a9b,236575000,431602610,2017-07-08T11:20:00Z,2017-07-08T13:40:00Z,-24.03459335,5.941773367,0.135,0.576,2.333333333
4d5030525bcfda63ebec8f228be2c858,236575000,416002039,2017-08-05T05:10:00Z,2017-08-05T08:20:00Z,-31.61402507,36.07288976,0.141,1.81,3.166666667
fba0d01246e6129955d26608a6214bfc,236575000,416613000,2017-07-31T08:00:00Z,2017-07-31T11:00:00Z,-36.28056713,30.42963471,0.136,1.302,3
923724b965f6c619f70cd32380bb6f95,236590000,306012000,2017-02-15T19:00:00Z,2017-02-15T22:10:00Z,4.30964182,-3.830982756,0.12,1.317,3.166666667
72635de392115e48adc77bfdc0d4ebbb,236590000,306012000,2017-05-28T18:00:00Z,2017-05-28T21:30:00Z,3.004376729,-5.472521424,0.117,0.884,3.5
f55d2e307afac5f77bb679c86416f7e5,236629000,257466500,2018-08-19T03:40:00Z,2018-08-19T06:00:00Z,70.08982456,25.07757176,0.3,0.003,2.333333333
af3dfa2ffbfe75af757b77a32d5fef25,237846000,601175000,2018-02-26T06:50:00Z,2018-02-26T09:10:00Z,-33.88682308,18.24078379,0.037,0.556,2.333333333
c040ab572bdfb7d3757dfe2eee99d6e5,237951000,601218900,2019-09-02T05:10:00Z,2019-09-02T08:30:00Z,-33.89535113,18.24374248,0.121,1.783,3.333333333
46f4fc700562db2fd0a7697894b6740b,239831000,601175000,2016-05-02T20:50:00Z,2016-05-03T00:20:00Z,-33.83926633,18.21870068,0.045,0.661,3.5
4025f0a91dcdc86eb5049c144613d120,239998000,601258800,2017-02-28T17:00:00Z,2017-02-28T19:10:00Z,-33.86485259,18.20547012,0.123,1.571,2.166666667
17b93ae6e62b2e2e16c9cab4e99ae549,240018000,601218900,2018-07-24T10:40:00Z,2018-07-24T13:00:00Z,-33.85738263,18.20484068,0.121,1.077,2.333333333
0780d421808332e49be69c7415a919e1,240056000,352502000,2015-04-13T08:20:00Z,2015-04-13T13:30:00Z,34.52898861,33.26183632,0.117,0.556,5.166666667
f1d55788157fec68dec58ab0862caaa9,240159000,601175000,2019-02-12T00:50:00Z,2019-02-12T03:00:00Z,-33.87494906,18.16789854,0.1,1.937,2.166666667
d7a88aa8a07d4318b2dcdfb4f4652f8d,240458000,601175000,2018-11-14T17:10:00Z,2018-11-14T19:20:00Z,-33.87073385,18.23533381,0.102,0.97,2.166666667
ac02c5b3f280f3b3033e6c4d5187e5a3,240556000,601258800,2018-07-29T09:40:00Z,2018-07-29T13:40:00Z,-33.88060193,18.20864648,0.169,0.839,4
1639763e43cdbda01e0d530cfdf4fe9c,240674000,209564000,2019-01-20T03:50:00Z,2019-01-20T06:10:00Z,34.53415234,33.25211705,0.051,0.777,2.333333333
459f98d8b29269d0b37664a3cd234412,240716000,352502000,2015-02-14T01:30:00Z,2015-02-14T03:50:00Z,34.54731122,33.34547752,0.067,0.642,2.333333333
1c44a53abaaccc98463e221e27a82cf1,240755000,601218900,2019-08-22T13:40:00Z,2019-08-22T16:10:00Z,-33.87870049,18.23716715,0.112,0.291,2.5
e6b64916467a70141ebc1bccca4bb90c,240893000,601218900,2019-11-02T05:10:00Z,2019-11-02T07:30:00Z,-33.87223775,18.22553255,0.077,0.485,2.333333333
7e8ef704dd67f4a45696154392cc0f0c,241036000,601175000,2018-04-14T05:10:00Z,2018-04-14T07:30:00Z,-33.8482668,18.23700836,0.084,1.251,2.333333333
8e37425b0ffcea91b00b07d824b577a3,241231000,209564000,2019-12-16T07:10:00Z,2019-12-16T10:30:00Z,36.76994798,22.1105147,0.084,0.354,3.333333333
24b50add37e257598a4b0cb860b23413,241255000,601218900,2019-05-28T08:00:00Z,2019-05-28T10:50:00Z,-33.85909803,18.25711308,0.16,1.325,2.833333333
61cc40099c53bee35dbbc21677f9173b,241260000,601175000,2019-01-31T02:10:00Z,2019-01-31T05:20:00Z,-33.79626862,18.22555927,0.233,1.321,3.166666667
2c8c88421ca2a7ad21e7c65cfde3c608,241291000,601218900,2019-02-07T19:10:00Z,2019-02-07T22:20:00Z,-33.91412444,18.24082988,0.083,0.926,3.166666667
283fcf254f698f7a145eba1f8d7bcd0f,241291000,601175000,2016-09-13T05:50:00Z,2016-09-13T08:30:00Z,-33.85684466,18.25509138,0.037,0.639,2.666666667
e67a69073e4b78348346edb338d1ec4a,241340000,601175000,2016-03-14T18:00:00Z,2016-03-14T20:20:00Z,-33.88190131,18.23946888,0.079,1.786,2.333333333
59687d14ab384db58464da9404a6592f,241365000,601175000,2016-10-24T10:50:00Z,2016-10-24T14:00:00Z,-33.89338889,18.21261696,0.048,0.478,3.166666667
fc6e342316d60512fdfa6861f9973b58,241380000,601175000,2016-05-22T22:10:00Z,2016-05-23T01:40:00Z,-33.87482847,18.16092988,0.103,1.103,3.5
f7862c26612c016e21b1155726b16910,241393000,601258800,2019-11-01T07:50:00Z,2019-11-01T10:10:00Z,-33.88815955,18.2510181,0.107,1.668,2.333333333
c27e671433cf38474fbe3c146ee48b01,241407000,209564000,2016-03-10T16:40:00Z,2016-03-10T20:00:00Z,34.46208458,33.30927668,0.165,1.828,3.333333333
