event,carrier_mmsi,neighbor_mmsi,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
3111fce5ed2cdf97f7795367adb97fad,200001140,412440154,2018-02-04T23:00:00Z,2018-02-10T11:20:00Z,-45.63263233,-60.55647756,0.062,0.512,132.3333333
ab740c5ec677199413a7e887e46ea008,200001140,412440154,2018-01-06T23:30:00Z,2018-02-04T22:30:00Z,-45.24291748,-60.24604787,0.019,0.52,695
2409a8b4d2ffb6786731b485754099ac,200001140,412440154,2018-04-02T00:40:00Z,2018-04-02T12:00:00Z,-45.82995778,-60.25311079,0.016,0.698,11.33333333
4537e703297b70902775754c3aa98426,210631000,210966000,2019-02-22T17:10:00Z,2019-02-22T23:10:00Z,2.96942964,2.706451112,0.027,0.924,6
9cf9f0176d395dd89870d1a260f1947e,210631000,212373000,2015-05-28T18:00:00Z,2015-05-28T21:50:00Z,3.199316574,-12.79367507,0.021,1.052,3.833333333
75db2de3f78ed43ce5887b412a0f8b77,210631000,273355780,2017-12-02T14:30:00Z,2017-12-04T07:50:00Z,77.74086806,14.15621077,0.062,0.042,41.33333333
5f388925d1ed04169c0b3cfa12721950,210631000,325103700,2019-10-31T09:50:00Z,2019-11-01T02:50:00Z,4.75605842,-15.62817445,0.022,0.57,17
9514fcacd9ba4b7bb18ef67b7d9d0cec,210631000,325103700,2019-04-27T15:00:00Z,2019-04-28T02:10:00Z,1.312373847,-1.499909546,0.024,1.817,11.16666667
90c34564f81f608ad424f0371a9ce19a,210631000,325103700,2019-06-01T14:50:00Z,2019-06-02T20:20:00Z,-8.786500219,8.662356435,0.024,0.279,29.5
4537e703297b70902775754c3aa98426,210966000,210631000,2019-02-22T17:10:00Z,2019-02-22T23:10:00Z,2.96942964,2.706451112,0.027,0.924,6
9cf9f0176d395dd89870d1a260f1947e,212373000,210631000,2015-05-28T18:00:00Z,2015-05-28T21:50:00Z,3.199316574,-12.79367507,0.021,1.052,3.833333333
93d727a083021b98c827998dc803870f,212373000,273240600,2012-02-16T16:20:00Z,2012-02-17T16:00:00Z,74.51991051,18.93218512,0.044,0.123,23.66666667
3a0a7b53396e3925c1cc6a6d746cca04,212373000,273353090,2019-02-13T09:00:00Z,2019-02-19T13:30:00Z,11.77385721,-15.65308352,0.052,0.035,148.5
846f401a09c8452dd81513f5d7071e7e,214182223,272208000,2015-05-24T18:00:00Z,2015-05-24T21:30:00Z,-62.7628385,-61.15641628,0.034,0.021,3.5
5c0bd42f9dde0108d25a508e3b1ec2c5,214182223,272208000,2015-05-22T02:20:00Z,2015-05-22T22:00:00Z,-62.70682962,-60.99829483,0.051,0.045,19.66666667
8357b086354df158ca72ff4f3aa7cd7e,214182223,272208000,2014-05-03T02:00:00Z,2014-05-03T05:30:00Z,-62.69373758,-61.0345595,0.032,0.012,3.5
4bb74c21688a7b91c4034a29562897db,214182223,272208000,2015-04-02T13:40:00Z,2015-04-04T04:50:00Z,-62.69295508,-61.04070538,0.043,0.02,39.16666667
3e0ca02fa9a0438f1ebf094862c5b548,214182223,412217992,2015-03-19T09:10:00Z,2015-03-20T09:10:00Z,-42.00664154,-56.98995716,0.032,0.842,24
701684b99df6ba65d17110ff32f6d526,214182223,412217993,2015-03-17T12:50:00Z,2015-03-19T06:10:00Z,-41.85462291,-57.50636826,0.037,1.493,41.33333333
